IDRESEAU;LIBELLE;OBSTACLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
64305;;Route de Wintzenheim;115000;1;065+499;e6a67d78-6667-11e3-a7ff-01f464e0362d;1023673.3153999969;6783916.037700001;7.348352332066424;48.07539249818734;48.0753924982,7.34835233207;48.0753924982,7.34835233207;"{""type"": ""Point"", ""coordinates"": [7.348352332066425, 48.0753924981612]}"
33984;OA n°33 A;Rocade urbaine-Sud;304000;1;002+100;e9960fc8-6667-11e3-a7ff-01f464e0362d;655959.3025000021;7102071.111299999;2.373824865261129;51.01284291563552;51.0128429156,2.37382486526;51.0128429156,2.37382486526;"{""type"": ""Point"", ""coordinates"": [2.373824865261128, 51.012842915623445]}"
51167;de la Métairie du Bas;;640000;1;016+018;e613df48-6667-11e3-a7ff-01f464e0362d;424846.9129000008;6406935.343699999;-0.474774171507256;44.707042777838524;44.7070427778,-0.474774171507;44.7070427778,-0.474774171507;"{""type"": ""Point"", ""coordinates"": [-0.474774171507257, 44.70704277781812]}"
42938;;Camping Moingt;784000;1;113+466;e56fb9ee-6667-11e3-a7ff-01f464e0362d;784743.8324000016;6499391.758099999;4.086894096099075;45.58878901662468;45.5887890166,4.0868940961;45.5887890166,4.0868940961;"{""type"": ""Point"", ""coordinates"": [4.086894096099075, 45.58878901660674]}"
54053;Pont route sous CD 330;CD 330;070000;1;106+130;e6452f68-6667-11e3-a7ff-01f464e0362d;739190.5094000027;6886734.535500001;3.536418343048995;49.079259100236364;49.0792591002,3.53641834305;49.0792591002,3.53641834305;"{""type"": ""Point"", ""coordinates"": [3.536418343048994, 49.07925910021542]}"
57308;du Chardonneret;;366000;1;263+029;e55c9bf8-6667-11e3-a7ff-01f464e0362d;434783.70920000225;6910016.912999999;-0.642316789712956;49.23477539033283;49.2347753903,-0.642316789713;49.2347753903,-0.642316789713;"{""type"": ""Point"", ""coordinates"": [-0.642316789712959, 49.23477539031264]}"
155637;41-09;CD 96;431000;1;177+202;cc1c3b68-9248-11e3-8cff-010c64e0362d;550057.4934;6732462.0304999985;1.001519104982233;47.675467697036886;47.675467697,1.00151910498;47.675467697,1.00151910498;"{""type"": ""Point"", ""coordinates"": [1.001519104982231, 47.675467697008564]}"
177539;PRO 15081;PRO 15081  (gare sud route complexe St Exupéry);752000;1;409+705;8f5b6a96-f72f-11e7-80ff-012864e0362d;861455.1796000004;6515616.000300001;5.075890932103029;45.72102540213393;45.7210254021,5.0758909321;45.7210254021,5.0758909321;"{""type"": ""Point"", ""coordinates"": [5.075890932103029, 45.72102540211638]}"
60891;;à Rivières-le-Bois;846000;1;316+554;e69298d0-6667-11e3-a7ff-01f464e0362d;883305.4565000013;6740039.947500002;5.446022274209354;47.73519722551479;47.7351972255,5.44602227421;47.7351972255,5.44602227421;"{""type"": ""Point"", ""coordinates"": [5.446022274209354, 47.7351972254868]}"
36347;De la Métairie;;515000;1;421+415;e97f1042-6667-11e3-a7ff-01f464e0362d;363958.5698999986;6694091.421100002;-1.446283400615777;47.26195983737308;47.2619598374,-1.44628340062;47.2619598373,-1.44628340062;"{""type"": ""Point"", ""coordinates"": [-1.446283400615779, 47.26195983734245]}"
137060;Ossature support BV CHAVILLE;BV de CHAVILLE RD;973000;1;018+592;e9fed600-6667-11e3-a7ff-01f464e0362d;640365.8813000023;6857205.438299999;2.187933606759843;48.81215919168196;48.8121591917,2.18793360676;48.8121591917,2.18793360676;"{""type"": ""Point"", ""coordinates"": [2.187933606759842, 48.81215919165967]}"
33987;OA n°30 B;RN 335 Voie du Courghain;304000;1;003+580;e5b250d4-6667-11e3-a7ff-01f464e0362d;654519.996299997;7101844.857700001;2.353387905227068;51.01070966201816;51.010709662,2.35338790523;51.010709662,2.35338790523;"{""type"": ""Point"", ""coordinates"": [2.353387905227067, 51.01070966200608]}"
54311;Pont n°2145;CD 164 E;226000;1;115+015;e5702232-6667-11e3-a7ff-01f464e0362d;688691.7192000002;6977416.525899999;2.842744306698251;49.895354282964824;49.895354283,2.8427443067;49.8953542829,2.8427443067;"{""type"": ""Point"", ""coordinates"": [2.842744306698251, 49.89535428294781]}"
45434;de Treignat;CD 147;702000;1;349+201;e5b478b8-6667-11e3-a7ff-01f464e0362d;649358.3950000033;6583304.651299998;2.341486996738352;46.347763526120275;46.3477635261,2.34148699674;46.3477635261,2.34148699674;"{""type"": ""Point"", ""coordinates"": [2.34148699673835, 46.34776352610453]}"
36191;;Rocade est;515000;1;339+900;e6f5e4d4-6667-11e3-a7ff-01f464e0362d;435169.2221999988;6713071.870200001;-0.516655090260827;47.46492054161026;47.4649205416,-0.516655090261;47.4649205416,-0.516655090261;"{""type"": ""Point"", ""coordinates"": [-0.51665509026083, 47.46492054158078]}"
49528;;Passage charretier et canal du Vergeroux;530000;1;204+451;e58aa150-6667-11e3-a7ff-01f464e0362d;391410.5742999986;6549393.972100001;-0.987127487940092;45.974133445996706;45.974133446,-0.98712748794;45.974133446,-0.98712748794;"{""type"": ""Point"", ""coordinates"": [-0.987127487940095, 45.97413344597988]}"
46631;;Autoroute B 71;784000;1;035+784;e693d416-6667-11e3-a7ff-01f464e0362d;737370.6141000018;6528609.188099999;3.481612196589282;45.85611359285625;45.8561135929,3.48161219659;45.8561135928,3.48161219659;"{""type"": ""Point"", ""coordinates"": [3.481612196589281, 45.856113592839066]}"
