IDRESEAU;LIBELLE;CODE_LIGNE;LONGUEUR;OBSTACLE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
136691;Tunnel;070000;2690;;1;439+634;e9c3252e-6667-11e3-a7ff-01f464e0362d;1004730.6391000003;6855252.9604;7.144602325321153;48.72541243198454;48.725412432,7.14460232532;48.725412432,7.14460232532;"{""type"": ""Point"", ""coordinates"": [7.144602325321154, 48.72541243196179]}"
47253;de Condres;790000;494;Gabarit à 1 voie;1;569+155;e73377ee-6667-11e3-a7ff-01f464e0362d;759167.2815999985;6414630.269299999;3.748576866073088;44.82831034983302;44.8283103498,3.74857686607;44.8283103498,3.74857686607;"{""type"": ""Point"", ""coordinates"": [3.748576866073088, 44.828310349812945]}"
48558;Brison;900000;376;Gabarit à 2 voies;1;113+529;e6709a12-6667-11e3-a7ff-01f464e0362d;923091.4746000022;6522002.921;5.870755368000895;45.76112897921092;45.7611289792,5.870755368;45.7611289792,5.870755368;"{""type"": ""Point"", ""coordinates"": [5.870755368000895, 45.76112897919347]}"
69468;Serre-Turin;915000;179;;1;294+663;e55a3d1a-6667-11e3-a7ff-01f464e0362d;970151.8426999971;6387871.948800001;6.401331339083471;44.53754497136237;44.5375449714,6.40133133908;44.5375449713,6.40133133908;"{""type"": ""Point"", ""coordinates"": [6.401331339083471, 44.5375449713415]}"
66936;Le Champ-de-Tir;874000;183;Gabarit à 1 voie;1;001+086;e6c325ac-6667-11e3-a7ff-01f464e0362d;954628.679399997;6649805.401000001;6.345774507820048;46.899873582977385;46.899873583,6.34577450782;46.899873583,6.34577450782;"{""type"": ""Point"", ""coordinates"": [6.34577450782005, 46.89987358296326]}"
48138;Souterrain de la CASCADE;896000;83;Gabarit à 1 voie;1;009+911;e5eae9a2-6667-11e3-a7ff-01f464e0362d;992894.8297000006;6540567.156800002;6.779209626253848;45.90169202502231;45.901692025,6.77920962625;45.901692025,6.77920962625;"{""type"": ""Point"", ""coordinates"": [6.779209626253849, 45.90169202500527]}"
66359;Champaillon n°2;850000;117;Gabarit à 2 voies;1;401+586;e934baca-6667-11e3-a7ff-01f464e0362d;912116.4794000015;6650306.927499998;5.787915011811494;46.919248427888725;46.9192484279,5.78791501181;46.9192484279,5.78791501181;"{""type"": ""Point"", ""coordinates"": [5.787915011811495, 46.91924842787465]}"
43766;Charonsac;805000;111;Gabarit à 1 voie;1;668+627;e974b3da-6667-11e3-a7ff-01f464e0362d;831997.3258000016;6384616.587299999;4.661824779680368;44.548122066921096;44.5481220669,4.66182477968;44.5481220669,4.66182477968;"{""type"": ""Point"", ""coordinates"": [4.661824779680367, 44.54812206690027]}"
48491;Esserts;899000;1501;Gabarit à 1 voie;1;049+659;e57e8fa4-6667-11e3-a7ff-01f464e0362d;974251.0967999995;6494854.857500002;6.512759062592139;45.49824758449101;45.4982475845,6.51275906259;45.4982475845,6.51275906259;"{""type"": ""Point"", ""coordinates"": [6.51275906259214, 45.49824758447281]}"
69580;Borgonuovo;946000;200;;1;050+997;e58d8f9c-6667-11e3-a7ff-01f464e0362d;1067861.386699997;6342519.5689;7.595914682455176;44.08530267357074;44.0853026736,7.59591468246;44.0853026735,7.59591468246;"{""type"": ""Point"", ""coordinates"": [7.595914682455177, 44.08530267354869]}"
66874;Porte-Taillée;872000;74;Gabarit à 1 voie;1;410+298;e94e7422-6667-11e3-a7ff-01f464e0362d;929765.9642999992;6685359.369399998;6.037382036862956;47.22875687434504;47.2287568743,6.03738203686;47.2287568743,6.03738203686;"{""type"": ""Point"", ""coordinates"": [6.037382036862957, 47.22875687431422]}"
46756;de St-Gervais;785000;105;Gabarit à 1 voie;1;423+981;e66e8332-6667-11e3-a7ff-01f464e0362d;746471.4188999981;6510445.145399999;3.597124213269733;45.69199240042685;45.6919924004,3.59712421327;45.6919924004,3.59712421327;"{""type"": ""Point"", ""coordinates"": [3.597124213269733, 45.691992400409184]}"
