IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
155581;PILLE CROIX-JUMELIN;420000;1;086+467;ea4a38d4-6667-11e3-a7ff-01f464e0362d;587902.9196999967;6818260.753899999;1.483837310929833;48.45493220707309;48.4549322071,1.48383731093;48.454932207,1.48383731093;"{""type"": ""Point"", ""coordinates"": [1.483837310929832, 48.454932207048934]}"
69774;Passage de l'Escallion;930000;1;064+073;e8894cba-6667-11e3-a7ff-01f464e0362d;935844.2480000034;6229874.3871;5.896864003921926;43.129189363847914;43.1291893638,5.89686400392;43.1291893638,5.89686400392;"{""type"": ""Point"", ""coordinates"": [5.896864003921926, 43.129189363823514]}"
33892;Passerelle piétons;301000;1;229+850;e98a080a-6667-11e3-a7ff-01f464e0362d;674514.5703999996;7047105.506099999;2.641191725794413;50.52071408746894;50.5207140875,2.64119172579;50.5207140875,2.64119172579;"{""type"": ""Point"", ""coordinates"": [2.641191725794412, 50.52071408745475]}"
59681;Passerelle conduite;070000;1;364+907;e8e83332-6667-11e3-a7ff-01f464e0362d;943603.8898999989;6842538.338500001;6.307082788222117;48.63710887134199;48.6371088713,6.30708278822;48.6371088713,6.30708278822;"{""type"": ""Point"", ""coordinates"": [6.307082788222118, 48.63710887131879]}"
171397;Passerelle du Lien Urbain à Rennes;420000;1;373+290;3a52b616-2e3d-11e6-97ff-012c64e0362d;352338.87210000306;6788366.106800001;-1.673422439899561;48.10304705405151;48.1030470541,-1.6734224399;48.103047054,-1.6734224399;"{""type"": ""Point"", ""coordinates"": [-1.673422439899565, 48.1030470540255]}"
67245;Passerelle technique;905000;2;420+744;e5b1d22a-6667-11e3-a7ff-01f464e0362d;898312.256099999;6264224.1646;5.449265009947349;43.4494367809529;43.449436781,5.44926500995;43.4494367809,5.44926500995;"{""type"": ""Point"", ""coordinates"": [5.449265009947347, 43.449436780929254]}"
40476;;746000;1;064+140;e5d1979a-6667-11e3-a7ff-01f464e0362d;678841.5063999966;6820786.884599999;2.71366416451475;48.486994310817025;48.4869943108,2.71366416451;48.4869943108,2.71366416451;"{""type"": ""Point"", ""coordinates"": [2.713664164514749, 48.48699431079304]}"
64265;Passerelle voyageurs;115000;1;036+322;e91557ea-6667-11e3-a7ff-01f464e0362d;1033088.7321000025;6810603.567499999;7.49496218447957;48.3104077990344;48.310407799,7.49496218448;48.310407799,7.49496218448;"{""type"": ""Point"", ""coordinates"": [7.494962184479571, 48.31040779900949]}"
55831;Passerelle piétons;340000;1;029+676;e59666c8-6667-11e3-a7ff-01f464e0362d;626724.004900001;6871496.179400001;1.999718539528547;48.93926032443307;48.9392603244,1.99971853953;48.9392603244,1.99971853953;"{""type"": ""Point"", ""coordinates"": [1.999718539528546, 48.93926032441142]}"
59818;;085000;1;340+646;e61fa2bc-6667-11e3-a7ff-01f464e0362d;926846.9420000017;6910992.883699998;6.116497698650086;49.258299158923194;49.2582991589,6.11649769865;49.2582991589,6.11649769865;"{""type"": ""Point"", ""coordinates"": [6.116497698650088, 49.25829915890314]}"
55734;;338000;1;027+735;e61ebca2-6667-11e3-a7ff-01f464e0362d;632290.6611000001;6878928.8191;2.074511890161025;49.006701879158875;49.0067018792,2.07451189016;49.0067018791,2.07451189016;"{""type"": ""Point"", ""coordinates"": [2.074511890161023, 49.006701879137566]}"
60546;Passerelle piétons;180000;1;167+417;e92f136c-6667-11e3-a7ff-01f464e0362d;930058.0296000019;6906099.2117;6.157878666225534;49.213193485910786;49.2131934859,6.15787866623;49.2131934859,6.15787866623;"{""type"": ""Point"", ""coordinates"": [6.157878666225534, 49.21319348589049]}"
46473;Passerelle voyageurs;760000;1;037+876;e88a1478-6667-11e3-a7ff-01f464e0362d;735593.0803000033;6637574.2962;3.467010143306591;46.837378322913814;46.8373783229,3.46701014331;46.8373783229,3.46701014331;"{""type"": ""Point"", ""coordinates"": [3.467010143306591, 46.83737832289951]}"
59841;Passerelle piétons;088000;1;016+405;e9518b1a-6667-11e3-a7ff-01f464e0362d;885932.809799999;6868821.6316;5.5362356626015;48.8925277442513;48.8925277443,5.5362356626;48.8925277442,5.5362356626;"{""type"": ""Point"", ""coordinates"": [5.5362356626015, 48.89252774422942]}"
51178;Passerelle de Podensac;640000;1;027+460;e988fab0-6667-11e3-a7ff-01f464e0362d;433723.6947999969;6400096.638799999;-0.359139486521924;44.64899005189582;44.6489900519,-0.359139486522;44.6489900519,-0.359139486522;"{""type"": ""Point"", ""coordinates"": [-0.359139486521926, 44.648990051875266]}"
47897;Passerelle piétons;891000;1;170+643;e72a8a70-6667-11e3-a7ff-01f464e0362d;935229.9848000035;6584641.795200001;6.058004296414906;46.32068479737577;46.3206847974,6.05800429641;46.3206847974,6.05800429641;"{""type"": ""Point"", ""coordinates"": [6.058004296414906, 46.32068479735993]}"
49816;Passerelle voyageurs;570000;3;324+723;e637320e-6667-11e3-a7ff-01f464e0362d;499907.8672999963;6623493.205200002;0.381686636162431;46.681666954291856;46.6816669543,0.381686636162;46.6816669543,0.381686636162;"{""type"": ""Point"", ""coordinates"": [0.381686636162429, 46.681666954277084]}"
43398;;800000;1;576+743;e8680ca6-6667-11e3-a7ff-01f464e0362d;840955.6717000008;6465683.498;4.797804977851649;45.27606278986549;45.2760627899,4.79780497785;45.2760627898,4.79780497785;"{""type"": ""Point"", ""coordinates"": [4.797804977851649, 45.27606278984666]}"
132375;PASSERELLE Moissac;640000;1;177+684;e5778e9a-6667-11e3-a7ff-01f464e0362d;546125.8061999977;6335598.073899999;1.07787038300724;44.1025300447957;44.1025300448,1.07787038301;44.1025300448,1.07787038301;"{""type"": ""Point"", ""coordinates"": [1.077870383007238, 44.10253004477369]}"
41513;de Veneux;830000;1;065+773;e86e52ee-6667-11e3-a7ff-01f464e0362d;684435.4377999976;6809525.6796;2.789771608898324;48.385843181252845;48.3858431813,2.7897716089;48.3858431812,2.7897716089;"{""type"": ""Point"", ""coordinates"": [2.789771608898323, 48.38584318122834]}"
34998;Passerelle gare d'échange;470000;1;619+365;e6d46434-6667-11e3-a7ff-01f464e0362d;223612.09700000286;6758648.735199999;-3.365183046909828;47.755330082873016;47.7553300829,-3.36518304691;47.7553300828,-3.36518304691;"{""type"": ""Point"", ""coordinates"": [-3.365183046909831, 47.75533008284513]}"
31126;Allassac;590000;2;483+477;e72af0be-6667-11e3-a7ff-01f464e0362d;580222.9016000032;6463380.9736;1.472809589690368;45.25934941287776;45.2593494129,1.47280958969;45.2593494129,1.47280958969;"{""type"": ""Point"", ""coordinates"": [1.472809589690367, 45.25934941285888]}"
57297;Marmican;366000;1;253+697;e989bcde-6667-11e3-a7ff-01f464e0362d;442701.92170000076;6906562.2071;-0.531599664390533;49.2069819362269;49.2069819362,-0.531599664391;49.2069819362,-0.531599664391;"{""type"": ""Point"", ""coordinates"": [-0.531599664390535, 49.206981936206574]}"
57905;Passerelle piétons des Drogueries;405000;1;088+203;e5b6e6bc-6667-11e3-a7ff-01f464e0362d;402193.4372999966;6868070.565299999;-1.05955091573413;48.84376933023105;48.8437693302,-1.05955091573;48.8437693302,-1.05955091573;"{""type"": ""Point"", ""coordinates"": [-1.059550915734133, 48.84376933020891]}"
131618;;655000;1;171+955;e676e082-6667-11e3-a7ff-01f464e0362d;352676.52380000055;6293762.260600001;-1.306659255221796;43.657635425876116;43.6576354259,-1.30665925522;43.6576354259,-1.30665925522;"{""type"": ""Point"", ""coordinates"": [-1.306659255221798, 43.657635425853]}"
44917;;908000;1;008+337;e99c0656-6667-11e3-a7ff-01f464e0362d;854668.0346999988;6432797.868299998;4.962207979917148;44.977103933071874;44.9771039331,4.96220797992;44.9771039331,4.96220797992;"{""type"": ""Point"", ""coordinates"": [4.962207979917147, 44.97710393305222]}"
37418;Passage public piétons;570000;2;212+157;e99a8d5a-6667-11e3-a7ff-01f464e0362d;547869.3662;6704332.510699999;0.981947476331498;47.4218442642888;47.4218442643,0.981947476331;47.4218442643,0.981947476331;"{""type"": ""Point"", ""coordinates"": [0.981947476331497, 47.42184426425907]}"
87572;Passerelle Gaucher;940100;1;001+919;e8ff77f8-6667-11e3-a7ff-01f464e0362d;892385.8478000015;6250189.2469;5.370912304876418;43.32486086271862;43.3248608627,5.37091230488;43.3248608627,5.37091230488;"{""type"": ""Point"", ""coordinates"": [5.370912304876418, 43.32486086269469]}"
173430;PAS AL0 3011 - Passerelle rue René Coty;566000;1;301+110;1fe4a2b0-51eb-11e7-95ff-01a864e0362d;424413.99859999865;6431699.6184;-0.494063605738466;44.929612504479465;44.9296125045,-0.494063605738;44.9296125045,-0.494063605738;"{""type"": ""Point"", ""coordinates"": [-0.494063605738467, 44.92961250445967]}"
